Time,Point_R1_C1,Point_R1_C2,Point_R1_C3,Point_R2_C1,Point_R2_C2,Point_R2_C3,Point_R3_C1,Point_R3_C2,Point_R3_C3
2024-08-10 12:00:00,34.848313205257,34.8600007058121,34.9265721375455,34.8453507051163,34.846250705159,34.8862507070589,34.8390507048171,34.8385007047909,34.8505007053609
2024-08-10 15:00:00,34.8478132052333,34.8590007057646,34.927572137593,34.8469507051923,34.8485007052659,34.8867507070827,34.8452507051115,34.8450007050997,34.8517507054203
2024-08-10 18:00:00,34.8456257051294,34.8540007055271,34.9272864232937,34.8445507050783,34.8467507051828,34.8852507070114,34.8484507052635,34.8495007053134,34.8527507054678
2024-08-10 21:00:00,34.8468132051858,34.8560007056221,34.9272864232937,34.843050705007,34.8455007051234,34.8847507069877,34.8476507052255,34.8495007053134,34.8535007055034
2024-08-11 00:00:00,34.8535007055034,34.8690007062396,34.9285721376405,34.8457507051353,34.8490007052897,34.8880007071421,34.8452007051092,34.8472507052065,34.8545007055509
2024-08-11 03:00:00,34.8580007057171,34.8780007066671,34.9308578520348,34.848650705273,34.8527507054678,34.8902507072489,34.8427007049904,34.8447507050878,34.8555007055984
2024-08-11 06:00:00,34.8589382057617,34.8800007067621,34.9342864236262,34.8504007053562,34.8550007055746,34.8925007073558,34.8398007048527,34.8417507049453,34.8555007055984
2024-08-11 09:00:00,34.8615007058834,34.8840007069521,34.9352864236737,34.8549507055723,34.860250705824,34.8950007074745,34.8380507047696,34.8397507048503,34.856250705634
2024-08-11 12:00:00,34.8816257068393,34.908000708092,34.9532864245287,34.8731007064343,34.8790007067146,34.9112507082464,34.8505507053633,34.8517507054203,34.8700007062871
2024-08-11 15:00:00,34.8826257068868,34.908000708092,34.9525721387805,34.8736507064605,34.8792507067265,34.9130007083295,34.8508507053775,34.852250705444,34.8712507063465
2024-08-11 18:00:00,34.8791257067205,34.8990007076645,34.9525721387805,34.8709007063298,34.8755007065483,34.914000708377,34.8503007053514,34.852250705444,34.8717507063702
2024-08-11 21:00:00,34.8739382064741,34.890000707237,34.9530007102294,34.867450706166,34.8717507063702,34.9137507083651,34.8492507053015,34.852250705444,34.8732507064415
2024-08-12 00:00:00,34.8712507063465,34.890000707237,34.9522864244812,34.8647507060377,34.870250706299,34.9145007084007,34.8465007051709,34.8505007053609,34.8732507064415
2024-08-12 03:00:00,34.8670632061476,34.8870007070946,34.9522864244812,34.8609007058549,34.8675007061684,34.9142507083889,34.8436507050355,34.8485007052659,34.8735007064533
2024-08-12 06:00:00,34.8603757058299,34.8790007067146,34.9532864245287,34.8540507055295,34.8615007058834,34.9147507084126,34.8392007048242,34.8450007050997,34.8735007064533
2024-08-12 09:00:00,34.8548132055657,34.8710007063346,34.9542864245762,34.8463007051614,34.854250705539,34.9142507083889,34.8322007044917,34.8397507048503,34.8725007064058
2024-08-12 12:00:00,34.7920632025853,34.8020007030573,34.9082864223913,34.7805007020361,34.7872507023567,34.866250706109,34.7737007017131,34.7832507021667,34.8252507041616
2024-08-12 15:00:00,34.7834382021756,34.7900007024873,34.9055721365481,34.7707007015706,34.7765007018461,34.8545007055509,34.7586507009983,34.7677507014305,34.8150007036747
2024-08-12 18:00:00,34.7783132019322,34.7830007021548,34.9010007077595,34.7673007014091,34.7735007017036,34.8370007047197,34.7465007004212,34.7550007008249,34.798500702891
2024-08-12 21:00:00,34.7751882017837,34.7800007020123,34.8954292789235,34.7683007014566,34.7765007018461,34.8195007038885,34.7414507001813,34.7505007006112,34.780750702048
2024-08-13 00:00:00,34.7743132017422,34.7810007020598,34.8901435643867,34.7678007014329,34.7777507019055,34.8047507031879,34.7385507000436,34.7485007005162,34.7672507014067
2024-08-13 03:00:00,34.7728757016739,34.7800007020123,34.8857149927478,34.7654507013212,34.7755007017986,34.794500702701,34.7365506999486,34.746750700433,34.7592507010268
2024-08-13 06:00:00,34.7719382016294,34.7800007020123,34.8835721355031,34.7626507011882,34.7720007016324,34.7890007024398,34.7329506997776,34.7420007002074,34.7585007009911
2024-08-13 09:00:00,34.7722507016442,34.7830007021548,34.8787149924153,34.7609507011075,34.7702507015492,34.7890007024398,34.7283506995591,34.7360006999224,34.7620007011574
2024-08-13 12:00:00,34.7649382012969,34.7740007017273,34.8795721353131,34.752750700718,34.760750701098,34.7877507023804,34.7188006991055,34.7245006993762,34.7597507010505
2024-08-13 15:00:00,34.758813201006,34.7680007014424,34.8720007063821,34.748750700528,34.756750700908,34.7855007022736,34.7177506990556,34.7232506993168,34.7600007010624
2024-08-13 18:00:00,34.7534382007507,34.7630007012049,34.8650007060496,34.745550700376,34.7542507007893,34.7840007022023,34.7193506991316,34.7260006994475,34.7610007011099
2024-08-13 21:00:00,34.7505007006112,34.7630007012049,34.8632864202539,34.7439007002977,34.7537507007655,34.7842507022142,34.7213506992266,34.7297506996256,34.7625007011811
2024-08-14 00:00:00,34.748750700528,34.7640007012524,34.8605721344107,34.7418007001979,34.7525007007062,34.7832507021667,34.7195006991387,34.7287506995781,34.7605007010861
2024-08-14 03:00:00,34.7496257005696,34.7670007013949,34.8601435629618,34.7422507002193,34.7535007007536,34.7832507021667,34.7180006990675,34.7277506995306,34.7605007010861
2024-08-14 06:00:00,34.7541882007863,34.7770007018698,34.8612864201589,34.7466007004259,34.7592507010268,34.7857507022854,34.718200699077,34.7285006995662,34.762750701193
2024-08-14 09:00:00,34.7588757010089,34.7870007023448,34.862429277356,34.7505507006135,34.7642507012642,34.7890007024398,34.7214506992314,34.7322506997443,34.7662507013592
2024-08-14 12:00:00,34.7668757013889,34.7940007026773,34.8698578491375,34.7611007011146,34.7742507017392,34.8020007030573,34.7331506997871,34.7435007002787,34.7812507020717
2024-08-14 15:00:00,34.7678757014364,34.7930007026298,34.8702864205864,34.7644507012737,34.7762507018342,34.8077507033304,34.7371006999747,34.7462507004093,34.7860007022973
2024-08-14 18:00:00,34.7679382014394,34.7930007026298,34.8711435634842,34.7676007014234,34.778750701953,34.8110007034848,34.7426007002359,34.7517507006705,34.7915007025586
2024-08-14 21:00:00,34.7675007014186,34.7930007026298,34.8690007062396,34.7706007015659,34.7822507021192,34.8147507036629,34.7490007005399,34.758750701003,34.7992507029267
2024-08-15 00:00:00,34.7671257014008,34.7910007025348,34.8698578491375,34.7687007014756,34.7805007020361,34.8175007037935,34.747150700452,34.7570007009199,34.8012507030217
2024-08-15 03:00:00,34.7721257016383,34.7960007027723,34.8701435634367,34.7716507016157,34.7830007021548,34.8200007039122,34.7472007004544,34.7572507009318,34.8042507031641
2024-08-15 06:00:00,34.7825007021311,34.8090007033898,34.8705721348857,34.7812507020717,34.7927507026179,34.8222507040191,34.7535007007536,34.7640007012524,34.8095007034135
2024-08-15 09:00:00,34.792625702612,34.8190007038647,34.8725721349807,34.7942507026892,34.806500703271,34.8277507042803,34.7655007013236,34.7762507018342,34.8215007039835
2024-08-15 12:00:00,34.7822507021192,34.8090007033898,34.9032864221538,34.7781507019245,34.792500702606,34.8512507053965,34.7455007003737,34.7540007007774,34.8275007042685
2024-08-15 15:00:00,34.7808132020509,34.8080007033423,34.9025721364056,34.7726007016608,34.7867507023329,34.8530007054796,34.7373006999842,34.7440007003024,34.8260007041972
2024-08-15 18:00:00,34.7863757023151,34.8170007037697,34.9025721364056,34.7750507017772,34.7905007025111,34.8547507055628,34.7344506998488,34.7395007000887,34.8260007041972
2024-08-15 21:00:00,34.7908132025259,34.8260007041972,34.9022864221063,34.7779007019126,34.794500702701,34.8565007056459,34.7335006998037,34.7375006999937,34.826500704221
2024-08-16 00:00:00,34.7920632025853,34.8280007042922,34.9028578507049,34.7773507018865,34.794500702701,34.8585007057409,34.7315506997111,34.7352506998868,34.8227507040428
2024-08-16 03:00:00,34.7983757028851,34.8370007047197,34.9041435650517,34.781950702105,34.7992507029267,34.8607507058477,34.731000699685,34.7352506998868,34.820500703936
2024-08-16 06:00:00,34.8122507035441,34.8590007057646,34.9051435650992,34.7960507027747,34.814500703651,34.8660007060971,34.7360506999248,34.7415007001837,34.8267507042328
2024-08-16 09:00:00,34.8258757041913,34.8760007065721,34.9068578508949,34.8119507035299,34.8300007043872,34.8730007064296,34.749950700585,34.7560007008724,34.8345007046009
2024-08-16 12:00:00,34.8140007036272,34.8670007061446,34.908000708092,34.8013507030264,34.8220007040072,34.8735007064533,34.7384507000388,34.7452507003618,34.824500704126
2024-08-16 15:00:00,34.8087507033779,34.8550007055746,34.9082864223913,34.7982507028792,34.8180007038172,34.8712507063465,34.7422007002169,34.7492507005518,34.8222507040191
2024-08-16 18:00:00,34.8117507035204,34.8550007055746,34.906000707997,34.8016007030383,34.8202507039241,34.8710007063346,34.7495007005637,34.7570007009199,34.8280007042922
2024-08-16 21:00:00,34.8197507039004,34.8630007059546,34.9047149936502,34.8110007034848,34.8290007043397,34.8732507064415,34.7606007010909,34.7692507015017,34.8377507047553
2024-08-17 00:00:00,34.8240632041052,34.8660007060971,34.9047149936502,34.8169507037674,34.8345007046009,34.876250706584,34.7678507014352,34.7775007018936,34.8440007050522
