Time,Point_R1_C1,Point_R1_C2,Point_R1_C3,Point_R2_C1,Point_R2_C2,Point_R2_C3,Point_R3_C1,Point_R3_C2,Point_R3_C3
2024-08-10 12:00:00,25.8811877793414,25.9550002828473,26.1048574328223,25.8652502785844,25.8627502784657,25.9032502803893,25.8854002795415,25.8702502788219,25.850250277872
2024-08-10 15:00:00,25.8546252780798,25.9170002810424,26.0731431456017,25.8474002777366,25.8450002776226,25.8842502794869,25.8821502793871,25.8707502788457,25.836250277207
2024-08-10 18:00:00,25.8408752774267,25.8870002796175,26.0601431449842,25.8289002768579,25.8255002766964,25.8817502793681,25.8753002790618,25.8670002786675,25.8287502768508
2024-08-10 21:00:00,25.8418752774742,25.88600027957,26.0444288585235,25.8203002764494,25.8145002761739,25.8682502787269,25.8637002785108,25.8552502781095,25.824250276637
2024-08-11 00:00:00,25.900000280235,25.9590002830373,26.0380002867896,25.8630002784776,25.8580002782401,25.88600027957,25.883600279456,25.8727502789407,25.8485002777888
2024-08-11 03:00:00,26.3373128010062,26.3990003039362,26.3310003007064,26.1552502923587,26.1615002926555,26.1755002933205,26.0159002857399,26.0032502851391,25.9957502847828
2024-08-11 06:00:00,26.3433753012941,26.4210003049811,26.3867145890669,26.1934502941731,26.2037502946623,26.2320002960041,26.0791502887441,26.065000288072,26.0520002874546
2024-08-11 09:00:00,26.1330627913048,26.2200002954341,26.2041431518238,26.0396002868656,26.0475002872408,26.0577502877277,25.9551002828521,25.939750282123,25.9030002803775
2024-08-11 12:00:00,26.0182502858515,26.1320002912544,26.0964288609934,25.9500002826098,25.9615002831561,26.0020002850797,25.8749502790452,25.8650002785726,25.7915002750815
2024-08-11 15:00:00,25.9504377826306,26.0480002872646,26.0391431439868,25.8950002799975,25.8997502802231,25.9107502807456,25.8532502780145,25.8412502774445,25.7472502729797
2024-08-11 18:00:00,25.9163127810098,25.9940002846997,26.0054288566711,25.87000027881,25.8697502787982,25.8897502797481,25.8519002779503,25.8410002774326,25.7382502725522
2024-08-11 21:00:00,25.8934377799233,25.9410002821824,25.9708574264576,25.8619002784253,25.8557502781332,25.8580002782401,25.8630002784776,25.854250278062,25.7412502726947
2024-08-12 00:00:00,26.0230002860771,26.0600002878346,26.1115717188555,25.9690502835147,25.9580002829898,25.9697502835479,25.9518502826977,25.9402502821467,25.8487502778007
2024-08-12 03:00:00,26.4058753042627,26.475000307546,26.4972860228902,26.270800297847,26.2730002979515,26.3367503009795,26.1656502928527,26.1570002924418,26.1195002906607
2024-08-12 06:00:00,26.5043128089383,26.5840003127232,26.6177146000388,26.3506503016397,26.3547503018344,26.4160003047436,26.2350002961466,26.2232502955885,26.1877502939024
2024-08-12 09:00:00,26.3320003007539,26.3960003037937,26.3220003002789,26.1972502943536,26.198500294413,26.2155002952204,26.1042002899339,26.0905002892832,26.0385002868134
2024-08-12 12:00:00,26.379437803007,26.5010003087809,26.0585717163381,26.2341502961062,26.2577502972272,26.2525002969778,26.0941502894566,26.0972502896038,26.0715002883808
2024-08-12 15:00:00,26.2270002957666,26.3190003001364,26.0152859999965,26.1189002906322,26.1362502914562,26.1397502916225,26.0207502859703,26.0235002861009,25.997500284866
2024-08-12 18:00:00,26.1334377913226,26.1960002942942,25.9991431420869,26.0578002877301,26.0655002880958,26.0755002885708,25.976300283859,25.9732502837142,25.9730002837023
2024-08-12 21:00:00,26.0955627895237,26.1280002910644,25.9891431416119,26.0371002867469,26.0370002867421,26.0315002864809,25.9602002830943,25.9525002827286,25.9560002828948
